#chrom,start,end,region,0X,1X,10X,30X,100X,500X,1000X,5000X,10000X,plate,batch,mixture,1X_ratio,10X_ratio,30X_ratio,100X_ratio,500X_ratio,1000X_ratio,5000X_ratio,10000X_ratio
MN908947.3,21563,25384,S,3821,3821,3625,3613,3613,3608,3481,3137,1450,05-05-23-A41,WB: artic,0adgio1o2o3o4o5,1.0,0.9487045276105731,0.9455639884846899,0.9455639884846899,0.9442554305155718,0.9110180580999738,0.8209892698246533,0.37948181104422923
MN908947.3,21563,25384,S,3821,3661,3615,3613,3613,3481,3481,3059,1452,05-05-23-A41,WB: artic,0adgio1,0.958126144988223,0.9460874116723371,0.9455639884846899,0.9455639884846899,0.9110180580999738,0.9110180580999738,0.800575765506412,0.3800052342318765
MN908947.3,21563,25384,S,3821,3643,3615,3613,3613,3337,3140,2785,1395,05-05-23-A41,WB: artic,o2o3o4o5,0.953415336299398,0.9460874116723371,0.9455639884846899,0.9455639884846899,0.8733315885893745,0.821774404606124,0.7288667887987438,0.3650876733839309
MN908947.3,21563,25384,S,3821,3754,3615,3613,3613,3481,3481,3137,1450,05-05-23-A41,WB: artic,0agio1o2,0.9824653232138184,0.9460874116723371,0.9455639884846899,0.9455639884846899,0.9110180580999738,0.9110180580999738,0.8209892698246533,0.37948181104422923
MN908947.3,21563,25384,S,3821,3774,3618,3613,3613,3608,3481,3138,1849,05-05-23-A41,WB: artic,0o5o3o4,0.9876995550902905,0.9468725464538079,0.9455639884846899,0.9455639884846899,0.9442554305155718,0.9110180580999738,0.8212509814184769,0.4839047369798482
MN908947.3,21563,25384,S,3821,3821,3635,3634,3614,3481,3481,3138,1834,05-05-23-A41,WB: artic,adgio1o2o3,1.0,0.9513216435488092,0.9510599319549856,0.9458257000785135,0.9110180580999738,0.9110180580999738,0.8212509814184769,0.4799790630724941
MN908947.3,21563,25384,S,3821,3716,3625,3613,3613,3608,3481,3137,1748,05-05-23-A41,WB: artic,agio3o4o5,0.9725202826485213,0.9487045276105731,0.9455639884846899,0.9455639884846899,0.9442554305155718,0.9110180580999738,0.8209892698246533,0.45747186600366396
MN908947.3,21563,25384,S,3821,3639,3625,3614,3613,3608,3480,2797,1626,05-05-23-A41,WB: artic,o1o2o3o4o5,0.9523684899241036,0.9487045276105731,0.9458257000785135,0.9455639884846899,0.9442554305155718,0.9107563465061502,0.7320073279246271,0.42554305155718397
MN908947.3,21563,25384,S,3821,3687,3614,3613,3613,3610,3481,3138,1616,05-05-23-A41,WB: artic,0,0.9649306464276367,0.9458257000785135,0.9455639884846899,0.9455639884846899,0.944778853703219,0.9110180580999738,0.8212509814184769,0.4229259356189479
MN908947.3,21563,25384,S,3821,3639,3615,3613,3613,3486,3481,2840,1345,05-05-23-A41,WB: artic,o1o2,0.9523684899241036,0.9460874116723371,0.9455639884846899,0.9455639884846899,0.9123266160690918,0.9110180580999738,0.7432609264590422,0.3520020936927506
MN908947.3,21563,25384,S,3821,3688,3621,3613,3613,3242,3140,2529,1256,05-05-23-A41,WB: artic,o3,0.9651923580214603,0.9476576812352787,0.9455639884846899,0.9455639884846899,0.848468987176132,0.821774404606124,0.6618686207799005,0.3287097618424496
MN908947.3,21563,25384,S,3821,3634,3614,3613,3613,3140,3140,2250,840,05-05-23-A41,WB: artic,o5,0.9510599319549856,0.9458257000785135,0.9455639884846899,0.9455639884846899,0.821774404606124,0.821774404606124,0.5888510861031143,0.21983773881182936
MN908947.3,21563,25384,S,3821,3821,3622,3613,3613,3336,3140,2796,1460,05-05-23-A41,WB: artic,o4,1.0,0.9479193928291023,0.9455639884846899,0.9455639884846899,0.8730698769955509,0.821774404606124,0.7317456163308035,0.38209892698246534
MN908947.3,21563,25384,S,3821,3698,3630,3625,3625,3487,3481,3138,2314,05-05-23-A41,WB: artic,0-2,0.9678094739596964,0.9500130855796912,0.9487045276105731,0.9487045276105731,0.9125883276629154,0.9110180580999738,0.8212509814184769,0.6056006281078252
MN908947.3,21563,25384,S,3821,3650,3614,3613,3613,3481,3481,3137,1535,05-05-23-A41,WB: artic,a,0.9552473174561633,0.9458257000785135,0.9455639884846899,0.9455639884846899,0.9110180580999738,0.9110180580999738,0.8209892698246533,0.4017272965192358
MN908947.3,21563,25384,S,3821,3655,3615,3613,3613,3608,3481,3137,1847,05-05-23-A41,WB: artic,g,0.9565558754252813,0.9460874116723371,0.9455639884846899,0.9455639884846899,0.9442554305155718,0.9110180580999738,0.8209892698246533,0.483381313792201
MN908947.3,21563,25384,S,3821,3709,3617,3613,3613,3609,3481,3138,1833,05-05-23-A41,WB: artic,i,0.9706883014917561,0.9466108348599843,0.9455639884846899,0.9455639884846899,0.9445171421093954,0.9110180580999738,0.8212509814184769,0.4797173514786705
MN908947.3,21563,25384,S,3821,3710,3621,3613,3613,3486,3481,3138,1840,05-05-23-A41,WB: artic,d,0.9709500130855797,0.9476576812352787,0.9455639884846899,0.9455639884846899,0.9123266160690918,0.9110180580999738,0.8212509814184769,0.48154933263543576
MN908947.3,21563,25384,S,3821,3638,3622,3614,3613,3466,3139,2788,1455,05-05-23-A41,WB: artic,o1,0.95210677833028,0.9479193928291023,0.9458257000785135,0.9455639884846899,0.9070923841926197,0.8215126930123005,0.7296519235802146,0.3807903690133473
MN908947.3,21563,25384,S,3821,3678,3626,3614,3613,3481,3481,3137,1505,05-05-23-A41,WB: artic,o2,0.9625752420832243,0.9489662392043967,0.9458257000785135,0.9455639884846899,0.9110180580999738,0.9110180580999738,0.8209892698246533,0.39387594870452763
MN908947.3,21563,25384,S,3821,3821,3623,3613,3613,3486,3480,3138,2571,05-05-23-A41,WB: artic,0-3,1.0,0.9481811044229259,0.9455639884846899,0.9455639884846899,0.9123266160690918,0.9107563465061502,0.8212509814184769,0.672860507720492
MN908947.3,21563,25384,S,3821,3690,3615,3613,3613,3554,3331,2791,1699,05-05-23-A41,WB: artic,o3-2,0.9657157812091076,0.9460874116723371,0.9455639884846899,0.9455639884846899,0.9301230044490971,0.8717613190264328,0.7304370583616854,0.44464799790630727
MN908947.3,21563,25384,S,3821,3666,3344,3342,3340,3339,2972,2528,1322,05-05-23-A41,WB: artic,o3-3,0.959434702957341,0.8751635697461397,0.8746401465584925,0.8741167233708453,0.8738550117770217,0.7778068568437582,0.6616069091860769,0.34598272703480765
MN908947.3,21563,25384,S,3821,3640,3625,3613,3613,3608,3331,2796,1699,05-05-23-A41,WB: artic,o5-2,0.9526302015179272,0.9487045276105731,0.9455639884846899,0.9455639884846899,0.9442554305155718,0.8717613190264328,0.7317456163308035,0.44464799790630727
MN908947.3,21563,25384,S,3821,3646,3614,3613,3613,3608,3241,2745,1438,05-05-23-A41,WB: artic,o5-3,0.9542004710808689,0.9458257000785135,0.9455639884846899,0.9455639884846899,0.9442554305155718,0.8482072755823084,0.7183983250457995,0.376341271918346
MN908947.3,21563,25384,S,3821,3821,3623,3613,3613,3464,3140,2787,1256,05-05-23-A41,WB: artic,o4-2,1.0,0.9481811044229259,0.9455639884846899,0.9455639884846899,0.9065689610049725,0.821774404606124,0.729390211986391,0.3287097618424496
MN908947.3,21563,25384,S,3821,3640,3615,3613,3613,3462,3138,2789,1691,05-05-23-A41,WB: artic,o4-3,0.9526302015179272,0.9460874116723371,0.9455639884846899,0.9455639884846899,0.9060455378173253,0.8212509814184769,0.7299136351740382,0.4425543051557184
MN908947.3,21563,25384,S,3821,3647,3614,3613,3613,3609,3336,2964,2034,05-05-23-A41,WB: artic,o2-2,0.9544621826746925,0.9458257000785135,0.9455639884846899,0.9455639884846899,0.9445171421093954,0.8730698769955509,0.7757131640931694,0.5323213818372153
MN908947.3,21563,25384,S,3821,3641,3614,3613,3613,3336,3140,2529,1383,05-05-23-A41,WB: artic,o2o3o4o5-2,0.9528919131117508,0.9458257000785135,0.9455639884846899,0.9455639884846899,0.8730698769955509,0.821774404606124,0.6618686207799005,0.36194713425804764
MN908947.3,21563,25384,S,3821,3665,3645,3632,3631,3565,3222,2797,1699,05-05-23-A41,WB: artic,o2o3o4o5-3,0.9591729913635174,0.9539387594870453,0.9505365087673384,0.9502747971735148,0.9330018319811567,0.8432347552996597,0.7320073279246271,0.44464799790630727
MN908947.3,21563,25384,S,3821,3659,3615,3615,3614,3486,3481,3059,1168,05-05-23-A41,WB: artic,0adgio1-2,0.9576027218005758,0.9460874116723371,0.9460874116723371,0.9458257000785135,0.9123266160690918,0.9110180580999738,0.800575765506412,0.30567914158597226
MN908947.3,21563,25384,S,3821,3821,3615,3613,3613,3539,3481,3138,1844,05-05-23-A41,WB: artic,0aio1o2o3o4o5,1.0,0.9460874116723371,0.9455639884846899,0.9455639884846899,0.926197330541743,0.9110180580999738,0.8212509814184769,0.48259617901073015
MN908947.3,21563,25384,S,3821,3790,3624,3613,3613,3609,3481,3125,1824,05-05-23-A41,WB: artic,0-4,0.9918869405914682,0.9484428160167495,0.9455639884846899,0.9455639884846899,0.9445171421093954,0.9110180580999738,0.81784873069877,0.47736194713425806
MN908947.3,21563,25384,S,3821,3766,3626,3625,3613,3481,3481,2731,1214,05-05-23-A41,WB: artic,a-2,0.9856058623397016,0.9489662392043967,0.9487045276105731,0.9455639884846899,0.9110180580999738,0.9110180580999738,0.7147343627322691,0.31771787490185815
MN908947.3,21563,25384,S,3821,3688,3630,3613,3613,3481,3480,3137,1474,05-05-23-A41,WB: artic,g-2,0.9651923580214603,0.9500130855796912,0.9455639884846899,0.9455639884846899,0.9110180580999738,0.9107563465061502,0.8209892698246533,0.38576288929599584
MN908947.3,21563,25384,S,3821,3710,3627,3625,3613,3610,3481,3138,1939,05-05-23-A41,WB: artic,i-2,0.9709500130855797,0.9492279507982203,0.9487045276105731,0.9455639884846899,0.944778853703219,0.9110180580999738,0.8212509814184769,0.5074587804239727
MN908947.3,21563,25384,S,3821,3637,3614,3613,3613,3481,3481,3059,1348,05-05-23-A41,WB: artic,d-2,0.9518450667364564,0.9458257000785135,0.9455639884846899,0.9455639884846899,0.9110180580999738,0.9110180580999738,0.800575765506412,0.3527872284742214
MN908947.3,21563,25384,S,3821,3661,3627,3625,3613,3481,3481,3130,1440,05-05-23-A41,WB: artic,o1-2,0.958126144988223,0.9492279507982203,0.9487045276105731,0.9455639884846899,0.9110180580999738,0.9110180580999738,0.819157288667888,0.3768646951059932
MN908947.3,21563,25384,S,3821,3660,3614,3613,3613,3336,3140,2529,1188,05-05-23-A41,WB: artic,o2-3,0.9578644333943994,0.9458257000785135,0.9455639884846899,0.9455639884846899,0.8730698769955509,0.821774404606124,0.6618686207799005,0.3109133734624444
MN908947.3,21563,25384,S,3821,3471,3345,3342,3341,2975,2872,2525,1307,05-05-23-A41,WB: artic,o3-4,0.9084009421617377,0.8754252813399633,0.8746401465584925,0.8743784349646689,0.778591991625229,0.7516356974613976,0.6608217744046061,0.34205705312745355
MN908947.3,21563,25384,S,3821,3660,3627,3614,3614,3608,3336,2797,1488,05-05-23-A41,WB: artic,o5-4,0.9578644333943994,0.9492279507982203,0.9458257000785135,0.9458257000785135,0.9442554305155718,0.8730698769955509,0.7320073279246271,0.3894268516095263
MN908947.3,21563,25384,S,3821,3643,3615,3613,3613,3608,3230,2389,1143,05-05-23-A41,WB: artic,o4-4,0.953415336299398,0.9460874116723371,0.9455639884846899,0.9455639884846899,0.9442554305155718,0.8453284480502486,0.6252289976445956,0.2991363517403821
MN908947.3,21563,25384,S,3821,3821,3614,3613,3482,3474,3138,1486,0,05-16-23-A41,NWRB: artic,0adgio1o2o3o4o5,1.0,0.9458257000785135,0.9455639884846899,0.9112797696937974,0.9091860769432086,0.8212509814184769,0.3889034284218791,0.0
MN908947.3,21563,25384,S,3821,3704,3614,3613,3482,3267,3138,1824,0,05-16-23-A41,NWRB: artic,0adgio1,0.969379743522638,0.9458257000785135,0.9455639884846899,0.9112797696937974,0.855011777021722,0.8212509814184769,0.47736194713425806,0.0
MN908947.3,21563,25384,S,3821,3627,3614,3609,3242,3134,2798,1202,53,05-16-23-A41,NWRB: artic,o2o3o4o5,0.9492279507982203,0.9458257000785135,0.9445171421093954,0.848468987176132,0.8202041350431825,0.7322690395184507,0.31457733577597485,0.013870714472651138
MN908947.3,21563,25384,S,3821,3704,3639,3613,3482,3474,3138,2446,496,05-16-23-A41,NWRB: artic,0agio1o2,0.969379743522638,0.9523684899241036,0.9455639884846899,0.9112797696937974,0.9091860769432086,0.8212509814184769,0.6401465584925412,0.12980895053650876
